date,region,product,revenue,cost,units_sold,customer_segment
2026-01-03,North,Atlas,12000,7200,48,Enterprise
2026-01-05,South,Atlas,9300,5100,37,SMB
2026-01-07,East,Nova,18400,9800,62,Enterprise
2026-01-10,West,Nova,7600,4300,28,Consumer
2026-01-14,North,Pulse,14300,8100,55,SMB
2026-01-17,South,Pulse,6700,3900,24,Consumer
2026-01-21,East,Atlas,21100,11800,70,Enterprise
2026-01-24,West,Atlas,8200,4700,31,SMB
2026-01-28,North,Nova,19500,10200,66,Enterprise
2026-02-02,South,Nova,7200,4100,27,Consumer
2026-02-05,East,Pulse,15800,8700,59,SMB
2026-02-09,West,Pulse,6900,4200,25,Consumer
2026-02-13,North,Atlas,12800,7500,50,SMB
2026-02-16,South,Atlas,9800,5600,39,Enterprise
2026-02-20,East,Nova,23000,12400,74,Enterprise
2026-02-23,West,Nova,7900,4600,29,Consumer
2026-02-27,North,Pulse,15100,8300,57,SMB
2026-03-02,South,Pulse,7100,4300,26,Consumer
2026-03-06,East,Atlas,22400,12100,72,Enterprise
2026-03-10,West,Atlas,8600,5000,33,SMB
